offering_id,overall,value,service,location,rooms,cleanliness,sleep_quality,review_text
93543,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"“Spacious and really nice hotel” I've stayed in Manhattan hotels quite a bit and this is the first hotel I've stayed in that had a normal sized room, with normal sized closets and with a normal sized bathroom! And that last one was the biggest surprise! Everything in my room was really nice, the lobby is pretty cool looking and the bar was hopping at night and the bartender Mike really had it under control. Don't let the one elevator being remodeled keep you away...be patient or take the stairs and get your fitness level up! Speaking of which, they had a really nice fitness facility with a few weight machines, weighted balls, stability balls, treadmills, free weights, benches and mats for your ab work. I was really happy about that! I stayed a few extra days because the hotel was so nice as was their staff and of course to hang around with my friends in the city. It's not in the middle of all the tourist mayhem but it's definitely within walking distance if that's what you're looking. I highly recommend this hotel and can't wait to go back!"
93618,1.0,1.0,1.0,2.0,2.0,2.0,,"“Déceptif” Un hotel cher (pres de 350 USD la chambre par nuit) pour :
- une chambre en etat tres moyen et daté
- un coffre de chambre ne fonctionnant pas
- une climatisation défaillante (pres de 24 degre celsios avec la clim poussé à fond)
- un service de pressing qui froisse les chemises
- un ménage à 14 heures ! 
- une réception très impersonnelle et blasée
Cet hotel s'est endormi sur ses lauriers bien passé avec des couts excessifs pour un service très moyens !
L'hotel meriterait une renovation generale et un personnel plus attentif.
Je n'y retournerais pas et vous conseille de rechercher ailleurs."
262330,3.0,2.0,3.0,4.0,4.0,5.0,,"“Ditto, bring your earplugs” I recognize New York is noisy, and while you're up high in the Hilton Millenium, construction at ground zero can be pretty loud, even on a weekend. The rooms are very clean and for business travellers to downtown, the location couldn't be better. It's a bit overpriced, but which hotel in New York is not."
1464151,2.0,5.0,4.0,2.0,1.0,4.0,3.0,"“Rooms are too small for families” We stayed at this hotel for one night. I reserved two rooms hoping for adjoining rooms. The hotel does not have any rooms that connect. The rooms (even by NY) standards are way too small. With luggage, and a stroller, we were having a difficult time just walking around the room. This is a new hotel so the rooms and common areas are very clean. If you are a business man looking for a clean place to stay then I recommend this hotel. If you are a family, then I would not recommend this hotel. Apart from the rooms being small, the location isn't that great. you are technically a block and a half from Time Square, but that half block seems a bit too ""sketchy."" Again, a business man by himself, not a problem. Walking around with the kids, I didn't feel that comfortable, especially at night.
The staff were okay. They were friendly and accommodating. The check-in process could be better as it seemed like there was only one person checking in guests."
611947,3.0,4.0,3.0,5.0,4.0,4.0,,“Great location and good value for what we paid” Booked a two night stay on Priceline and paid only $110/night. Arrived at the hotel very early and requested check in at 9AM. Desk staff was able to find us a room in 45 minutes and we were happy to take whatever we got. Room was small with a Queen bed but very comfortable. Based on the rate we paid there was nothing to complain about. Be warned however that this is a large convention based hotel that caters to groups. There were always long lines at check in and some dude in the lobby tried to sell us a timeshare when we asked for a map. The thing that really left a bad taste in our mouth was after checking out we left our bags with the bellman as we had a late flight. The charge to hold the items was $3.50 per piece. (This was on top of the tip to the bellman for taking the bags) Maybe this is just a New York thing but we did not appreciate it. All in all we got what we paid for.
99135,2.0,3.0,3.0,5.0,2.0,2.0,4.0,"“Bedroom nice, Bathroom bad.” Never having stayed in the Galleria area before, I was very confused by the two Westin's essentially on the same block. Yes, there are two. The Westin Oaks Galleria and The Westin at the Galleria. The Westin at The Galleria has better reviews by and large than The Westin Oaks. I thought I was making reservations at The Westin Galleria but in fact was booking at the other Westin. My transportation from the airport was even confused by it all. 
Staff at The Westin Oaks was very friendly and seemed responsive to my needs. I complained about smoking on my floor within the first 24 hours and the problem was addressed. This is a non smoking property but I never would have known that when I checked in-the smoke smell in the hallways was very thick. 
One advantage of this property is the elevator system-one hardly has to ever wait for an elevator and the elevators don't stop at every floor on the way up or down. 
My bedroom was spacious and clean for the most part. Mattress seemed brand new and very comfortable. Linens on bed were high quality. Nice views of Post Oak area and beyond. 
And then there was the bathroom. I was in room 1708, by the way because I read other reviews of water issues and the manager wanted to know which room the guest was in. I reported one of the problems when it occurred. A repair man came up after 30 minutes claiming that someone above me must have overfilled the tub. Hah! Just looking at the bathroom ceiling when I checked in, was evidence that there has been chronic water problems in the ceiling. The tiles were covered with furry stuff and corroding. Large spaces between ceiling tiles. What happened was water pouring in great quantities, including pieces of the ceiling from the 18th floor bathroom above me into the bathtub. Lucky for me that I was not in the bathtub when this happened. By the time the repair man arrived the water had stopped. I can't imagine this would be very healthy. 
But there was another issue with the bathroom and that was the very hot water in the toilet. Every time I went to the bathroom it was like a sauna on my bottom. I didn't see steam rising up but it sure felt like it and one time I thought I had been burned. I am not kidding about this. I think I could have roasted marshmallows over the john! It was very disconcerting. I never put my hand in the water because I thought I would freak out. The toilet storage tank was even hot to the touch. 
When you turn on the water in a bathtub it usually runs cold and turns warmer the further you turn the handle. With this bathtub it was the opposite. It starts out hot and turns cold the further you turn the handle.
The wallpaper in the bathroom was stained and dirty-one area could have possibly been blood stains. Look behind the painting hanging over the toilet.
So what's the deal with even renting out rooms in this condition? Does the Hotel hope to get lucky and hope the guests won't make a fuss? Does the front desk think that guests of a certain age will just suck it up? I should have asked to change rooms but sometimes the hassle of packing everything up & moving is just overwhelming. Plus I was not in the room that much. 
I would have had a beautiful stay if it were not for this issue. It was a major issue. Because of my experience here, I will think twice before I even book at another Westin."
87595,2.0,1.0,1.0,3.0,1.0,4.0,1.0,“This place is a dump.” This place is dated and decrepit. Furniture is ready for Goodwill. Unattractive lobby. Chipped paint and tiny bathroom. Depressing. Good location does not make up for the run-down quality of the hotel. Stay somewhere else and use the good Chicago public transportation to get to the sights.
220243,4.0,4.0,4.0,5.0,4.0,4.0,,"“Nice hotel, not your ordinary W” We had a nice stay at the W. The hotel is not laid out like a normal W. It has more light and not the groovy ambiance of what I expect from W hotels. The location is great. Sort of in the center of Manhattan. Lots of restaurants and shops and a short walk to Greenwich Village. On Saturdays there is a green market at Union Square which is pretty amazing. The bar downstairs always seems to have a lot people. We had a mega room which is bigger than their standard room, so room size was not an issue. The first room we had was showing some wear an tear. We had to move because apparently some one had gotten sick on the carpet and the smell was lingering. The front desk was very nice and moved us immediately. Our second room was in very good condition. There was nothing spectacular about the decor. Very standard earth earth tones. The bed was very comfortable. We had no problems with the service and would definitely stay there again."
108038,3.0,3.0,3.0,3.0,2.0,2.0,,"“OK, but does not meet Hilton standards.” OK, but does not meet Hilton standards. Right on U. of Texas which has +'s and -'s but is aprox. $100 less then the Hilton Med. Center which is about 5 miles away. There's no gym on site, but you can use the campus gym. There's a good game room and fast food directly across from the hotel at the student center and the campus is nice, but the hotel rooms are old and don't meet the standards of the upgrades Hilton has been making. OK option for a business stay, but I wouldn't chose this a get away destination."
93610,5.0,5.0,5.0,5.0,5.0,5.0,4.0,"“Terrific x 2” Just completed my second stay at The Royalton. This is a terrific hotel. Nothing has changed near as I can tell from my prior visit, but it remains in good order and very well maintained. What stands out from my second experience is the staff. I cannot fault one of them. Unfailingly friendly, helpful, cheerful. I was only there two night but I could tell they were making an effort to remember their guests by face, at least. Can't think of a single staff member who wasn't friendly and motivated. They are running a terrific hotel."
